doi,cleaned_feature
10.3928/01477447-20160111-01,challenge reverse shoulder arthroplasty addressing glenoid bone loss orthopedics slack inc
10.1097/MD.0000000000002633,predictor high motivation score performing research initiation fellowship master research master phd curriculum medical study medicine ovid technology wolters kluwer health
10.1103/PhysRevD.93.025004,fermionic current schwinger effect sitter spacetime physical american physical society aps
10.1103/PhysRevD.93.025014,comparison semiclassical wigner function method pair production rotating field physical american physical society aps
10.5978/islsm.16-OR-02,effect co nd yap laser cad cam ceramic sem ed thermal study laser therapy international phototherapy association
10.1142/S0219887816500274,dark matter residual topological change international geometric method modern physic world scientific pub co pte ltd
10.1109/TGRS.2016.2528298,estimating intrinsic dimension hyperspectral image using noise whitened eigengap approach ieee transaction geoscience remote sensing institute electrical electronics engineer ieee
10.1212/WNL.0000000000002264,recessive na sub v sub mutation underlies congenital myasthenic syndrome periodic paralysis neurology ovid technology wolters kluwer health
10.1142/S0219887815501297,superlogic manifold geometric approach quantum logic international geometric method modern physic world scientific pub co pte ltd
10.1007/s10409-015-0487-5,generalized flyby trajectory around elongated minor celestial body rotating mass dipole acta mechanica sinica springer science business medium llc
10.1097/PRS.0000000000001856,vascularized lateral antebrachial cutaneous nerve graft based radial artery perforator nerve defect reconstruction plastic reconstructive surgery ovid technology wolters kluwer health
10.1017/S1743921315008509,small asteroid temporarily captured earth moon system proceeding international astronomical union cambridge university press cup
10.1017/S1365100515000097,social learning consumption macroeconomic dynamic cambridge university press cup
10.1097/MEJ.0000000000000362,acute respiratory failure drowning retrospective multicenter survey european emergency medicine ovid technology wolters kluwer health
10.1097/DAD.0000000000000511,acquired localized longitudinal pachyonychia onychomatrical tumor comparative study onychomatricomas case onychocytic matricomas case american dermatopathology ovid technology wolters kluwer health
10.1007/s10603-016-9315-y,critical cost advertising transformative consumer research perspective consumer policy springer science business medium llc
10.3847/0004-637X/826/1/44,infrared spectral property magellanic carbon star astrophysical american astronomical society
10.1109/TSP.2016.2518991,multitask diffusion adaptation pub newline asynchronous network ieee transaction signal processing institute electrical electronics engineer ieee
10.1097/SHK.0000000000000665,effect increasing hydrocortisone mg per day treatment septic shock shock ovid technology wolters kluwer health
10.1136/bcr-2016-215482 1,management non syndromic double tooth affecting permanent maxillary central incisor systematic bmj case report bmj
10.4267/2042/60676,ivaldiceras new genus heteromorphic ammonite lower aptian southeast france carnets geologie notebook geology inist cnrs
10.1093/mnras/stv2942,del exploring onset pulsation driven wind giant star monthly notice royal astronomical society oxford university press oup
10.1109/ICASSP.2016.7472545,diffusion lm multitask network noisy link ieee international conference acoustic speech signal processing icassp institute electrical electronics engineer ieee
10.1097/SLA.0000000000001879,natural history adjustable gastric banding annals surgery ovid technology wolters kluwer health
10.1038/scientificamerican0516-28,born chaos scientific american springer science business medium llc
10.1108/IJBM-11-2014-0170,determinant choice islamic bank tunisia international bank marketing emerald
10.1097/DAD.0000000000000579,acquired localized monodactylous longitudinal pachyonychia onychocytic carcinoma situ case part ii american dermatopathology ovid technology wolters kluwer health
10.1109/ICISE.2016.13,combining sysml marte ccsl model complex electronic system international conference information system engineering icise institute electrical electronics engineer ieee
10.1017/S1473550416000227,moma challenge search organic biosignatures mar international astrobiology cambridge university press cup
10.2106/JBJS.O.00760,inferior cubital artery perforator flap soft tissue coverage elbow bone joint surgery ovid technology wolters kluwer health
10.1142/S0218202516500457,analysis chemotaxis system modeling ant foraging mathematical model method applied science world scientific pub co pte ltd
10.1142/S0218271816500668,inhomogeneous matter distribution supernova international modern physic world scientific pub co pte ltd
10.3917/etr.0911.0057,mort pluriel mort l ame etude theologiques religieuses cairn
10.1172/JCI84518,ccr irf dependent dendritic cell regulate lymphatic collecting vessel permeability clinical investigation american society clinical investigation
10.1109/EWME.2016.7496477,new qvco design using utbb fdsoi technology th european workshop microelectronics education ewme institute electrical electronics engineer ieee
10.1109/JSAC.2016.2558978,heap reliable assessment bgp hijacking attack ieee selected area communication institute electrical electronics engineer ieee
10.1108/CG-09-2015-0123,board director disciplinary cognitive influence corporate value creation corporate governance emerald
10.1109/CBMI.2016.7500255,vascular network discriminant enough classify renal cell carcinoma th international workshop content based multimedia indexing cbmi institute electrical electronics engineer ieee
10.1097/CCM.0000000000001900,author reply critical care medicine ovid technology wolters kluwer health
10.1109/HMI.2016.7449159,opening remark international conference advance human machine interaction hmi institute electrical electronics engineer ieee
10.1097/CCM.0000000000001580,author reply critical care medicine ovid technology wolters kluwer health
10.1159/000442158,epigenetic regulation early childhood miniaturized validated method ass histone acetylation international archive allergy immunology karger ag
10.4267/2042/58977,revision early cretaceous genus heminautilus spath josanautilus martinez grauges nautilida cenoceratidae carnets geologie notebook geology inist cnrs
10.1109/ISBI.2016.7493411,cortical surface parcellation via dmri using mutual nearest neighbor condition ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.1017/S0960129518000105,plugging proof development environment usinglocksinlf mathematical structure computer science cambridge university press cup
10.1108/IMEFM-06-2017-0151,sin matter corporate governance issue united state international islamic middle eastern finance management emerald
10.1109/ICM.2017.8268881,programmable signal generator neural network application th international conference microelectronics icm institute electrical electronics engineer ieee
10.1109/TMI.2018.2820742,consistent robust segmentation cardiac image deep learning spatial propagation ieee transaction medical imaging institute electrical electronics engineer ieee
10.1002/14651858.CD003220.pub3,pulp treatment extensive decay primary teeth cochrane database systematic review wiley
10.1109/MAP.2018.2796032,industrial antenna design multidisciplinary course offered european school antenna education corner ieee antenna propagation magazine institute electrical electronics engineer ieee
10.1017/S1743921317000928,post agb nebular study proceeding international astronomical union cambridge university press cup
10.1097/SHK.0000000000001014,inappropriate response cosyntropin stimulation test indication corticosteroid resistance septic shock shock ovid technology wolters kluwer health
10.1109/TSE.2018.2826537,creating rich representative persona discovering affordances ieee transaction software engineering institute electrical electronics engineer ieee
10.1515/9783110545623-017,avoid monkey refusal interaction galen epideixis interaction animal human graeco roman antiquity walter gruyter gmbh
10.1684/sss.2018.0105,recrutement cadre sante entre profession integration institutionnelle science sociales sante john libbey eurotext
10.1017/9781316286791.018,origin planetary ring system planetary ring system cambridge university press cup
10.1515/9783110545623-007,psychological cognitive philosophical aspect animal envy towards human theophrastus beyond interaction animal human graeco roman antiquity walter gruyter gmbh
10.1103/PhysRevLett.120.141101,microscope mission first constraint violation weak equivalence principle light scalar dilaton physical letter american physical society aps
10.23919/RADIO.2017.8242252,full body imaging multiview electromagnetic scanner ieee radio antenna day indian ocean radio institute electrical electronics engineer ieee
10.1109/CAMA.2017.8273439,direction arrival doa degree phase ambiguity rfid uhf reader limit perspective ieee conference antenna measurement application cama institute electrical electronics engineer ieee
10.1057/9781137480668_8,trade diversification intra regional trade north africa economic development middle east north africa springer science business medium llc
10.1109/TBME.2018.2839713,transfer learning simulation reference anatomy ecgi personalized cardiac resynchronization therapy ieee transaction biomedical engineering institute electrical electronics engineer ieee
10.1302/0301-620X.100B4.BJJ-2017-0495.R2,anatomical total shoulder arthroplasty young patient osteoarthritis bone amp joint british editorial society bone joint surgery
10.1109/CAMA.2017.8273433,experimental analysis human body effect miniature lpwan antenna ieee conference antenna measurement application cama institute electrical electronics engineer ieee
10.4267/2042/66955,heteroceras gracile sp nov new specie heteroceras orbigny upper barremian morteiron alpes haute provence france carnets geologie notebook geology inist cnrs
10.4018/IJESMA.2017010103,loyalty programme meta service international e service mobile application igi global
10.1134/S0016266319020102,complex conjugate zero partial theta function functional analysis application pleiades publishing ltd
10.1103/PhysRevLett.123.043902,third order dispersion time delayed system physical letter american physical society aps
10.22489/CinC.2018.355,localizing atrial flutter circuit using variability vectorcardiographic loop parameter computing cardiology conference cinc computing cardiology
10.22489/CinC.2018.299,autonomic nervous system effect atrioventricular conduction time heart period relationship physical exercise passive recovery computing cardiology conference cinc computing cardiology
10.1177/1045389X19862358,actively lubricated hybrid bearing based magnetic fluid high precision spindle machine tool intelligent material system structure sage publication
10.1029/2019JB017512,bayesian dynamic finite fault inversion application sub w sub amatrice italy earthquake geophysical research solid earth american geophysical union agu
